Gene_ID	Level	LogFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	Gene_ID.y	B_T1_Rep1	B_T1_Rep2	B_T1_Rep3	B_T1_Rep4	B_T2_Rep1	B_T2_Rep2	B_T2_Rep3	B_T2_Rep4	protein_ID	transcript_ID
gene_3858	10.1596567614423	-1.10308000133707	380	Putative uncharacterized protein	Neurospora crassa	Ophiostoma piceae			hypothetical protein NCU00537	3	F:molecular_function; P:biological_process; C:cellular_component		N	gene_3875	12	0	22	10	22	12	4	16	1982435	1982689
gene_3859	35.6440697854603	0.607921096598723	1 609	Poly(A) RNA polymerase cid13 (Caffeine-induced death protein 13)	Neurospora crassa	Ophiostoma piceae			pap 25a associated domain family protein protein	1	F:nucleotidyltransferase activity	EC:2.7.7.0	N	gene_3876	37	21	60	115	40	26	4	66	1982436	1982690
gene_386	55.2930280407255	1.06252014671262	465	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			cfem domain-containing protein	0	-		N	gene_387	88	58	36	61	16	38	14	53	1978947	1979201
gene_3860	8.498122256135	-0.266299305976428	307	DUF1445 domain-containing protein	Verticillium alfalfae	Ophiostoma piceae			duf1445 domain-containing protein	0	-		N	gene_3877	8	2	24	9	14	14	0	16	1982437	1982691
gene_3861	10.3767950356058	-0.203260333202274	1 298	Hydantoinase	Grosmannia clavigera	Ophiostoma piceae	K01469	E3.5.2.9; 5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]	5-oxoprolinase	2	P:metabolic process; F:hydrolase activity	-	N	gene_3878	32	0	26	12	10	6	4	30	1982438	1982692
gene_3862	4.4386608889513	-0.545534433622072	754	Uncharacterized transcriptional regulatory protein C1683.13c	Cyphellophora europaea	Ophiostoma piceae			n-terminal binuclear zn cluster-containing dna binding domain-containing protein	2	P:transcription, DNA-dependent; F:binding	-	N	gene_3879	10	0	0	26	6	8	0	14	1982439	1982693
gene_3863	0.531234956702622	-0.19741440448552	497	High-affinity nicotinic acid transporter	Togninia minima	Togninia minima			high-affinity nicotinic acid transporter	2	C:integral to membrane; P:transmembrane transport		N	gene_3880	2	0	0	2	0	0	0	6	1982440	1982694
gene_3864	2.16712222679955	-0.950087137386391	309	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein MGG_03110	3	F:molecular_function; P:biological_process; C:cellular_component		N	gene_3881	5	0	2	2	12	2	0	0	1982441	1982695
gene_3865	0	0	379	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_4989	1	F:binding	-	N	gene_3882	0	0	0	0	0	0	0	0	1982442	1982696
gene_3866	0.347716386646034	0.291667530918516	384	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_5049	2	F:zinc ion binding; C:intracellular		N	gene_3883	0	0	0	6	0	0	0	2	1982443	1982697
gene_3867	0.926878372313191	0.1311919031028	181	NUDIX domain containing protein	Grosmannia clavigera	Ophiostoma piceae	K01515	nudF; ADP-ribose pyrophosphatase [EC:3.6.1.13]	adp-ribose pyrophosphatase	1	C:intracellular part	-	N	gene_3884	4	0	0	6	2	0	0	4	1982444	1982698
gene_3868	2.007306642715	0.814811131072725	538	Major facilitator superfamily transporter	Grosmannia clavigera	Ophiostoma piceae			atp synthase f0	2	C:integral to membrane; P:transmembrane transport		N	gene_3885	8	0	0	22	2	1	0	4	1982445	1982699
gene_3869	38.981809634624	-1.17279023480181	1 562	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_4995	0	-		N	gene_3886	34	0	67	97	50	39	20	107	1982446	1982700
gene_387	245.865390102762	0.860644575978387	668	6-hydroxy-D-nicotine oxidase (6-HDNO)	Grosmannia clavigera	Ophiostoma piceae			restculine oxidase precursor	1	F:oxidoreductase activity, acting on CH-OH group of donors	-	Y	gene_388	136	294	90	225	88	239	58	174	1978948	1979202
gene_3870	15.3296784011581	-0.504435278039346	412	Solute carrier protein	Grosmannia clavigera	Ophiostoma piceae	K15287	SLC35F1_2; solute carrier family 35, member F1/2	solute carrier protein	0	-		N	gene_3887	46	0	17	44	33	17	0	52	1982447	1982701
gene_3872	41.8057376087646	-0.0345525543971187	412	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_5035	3	F:molecular_function; P:biological_process; C:cellular_component		N	gene_3888	62	14	86	74	48	35	12	83	1982448	1982702
gene_3873	10.5843899790587	-0.401886304525632	569	Altered inheritance of mitochondria protein 9, mitochondrial (Found in mitochondrial proteome protein 29)	Penicillium rubens	Ophiostoma piceae			Pc16g11610	2	F:transferase activity, transferring phosphorus-containing groups; F:transferase activity		N	gene_3889	18	0	22	36	34	5	2	14	1982449	1982703
gene_3874	4.9806307755282	1.11654675275729	565	Putative serine threonine protein kinase	Microsporum gypseum	Ophiostoma piceae				1	F:transferase activity, transferring phosphorus-containing groups		N	gene_3890	16	0	10	42	6	2	0	8	1982450	1982704
gene_3874.1	6.23476740599325	2.00206057841109	315	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	gene_3891	15	0	7	92	4	0	0	10	1982451	1982705
gene_3875	2.45896696165065	-1.95794679388229	461	Phosphatidylglycerol specific phospholipase	Grosmannia clavigera	Ophiostoma piceae	K01114	plcC; phospholipase C [EC:3.1.4.3]	phosphoesterase superfamily protein	2	P:metabolic process; F:phosphatidylcholine phospholipase C activity	EC:3.1.4.3	Y	gene_3892	0	0	2	1	6	2	2	6	1982452	1982706
gene_3876	11.6604101420381	0.301811177690035	506	Pantothenate transporter	Aspergillus flavus	Ophiostoma piceae			mfs transporter	2	P:transmembrane transport; C:integral to membrane	-	N	gene_3893	52	4	6	18	16	9	2	19	1982453	1982707
gene_3877	5.30696492166339	0.079384945978233	271	2-keto-3-deoxy-L-rhamnonate aldolase (KDR aldolase)	Nectria haematococca	Ophiostoma piceae	K12660	yfaU; 2-dehydro-3-deoxy-L-rhamnonate aldolase [EC:4.1.2.-]	X-dihydroxyhept-2-ene- -dioic acid aldolase	2	P:cellular aromatic compound metabolic process; F:carbon-carbon lyase activity	-	N	gene_3894	4	4	6	4	14	0	0	21	1982454	1982708
gene_3878	8.85557945717972	-0.535966292642654	116	Protein mmf2, mitochondrial (Maintenance of mitochondrial function 2)	Penicillium digitatum	Ophiostoma piceae			translation initiation inhibitor	0	-		N	gene_3895	28	0	16	8	34	0	0	34	1982455	1982709
gene_3879	6.76814831569796	-1.85620746480196	401	Gibberellin 3-beta hydroxylase, putative	Aspergillus oryzae	Ophiostoma piceae			gibberellin 3-beta	3	P:oxidation-reduction process; F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	EC:1.14.11.0	N	gene_3896	9	0	6	2	7	2	2	67	1982456	1982710
gene_388	28.4547536353768	-1.4960233888547	281	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_657	0	-		N	gene_389	26	2	20	72	47	25	17	73	1978949	1979203
gene_3880	12.5860221887792	-0.230356610874451	743	Zinc finger protein C11D3.17	Trichoderma virens	Ophiostoma piceae			tpa: c2h2 finger domain transcription factor	9	F:nucleic acid binding; P:transcription, DNA-dependent; F:zinc ion binding; C:nucleus; C:intracellular; F:DNA binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; P:oxidation-reduction process; F:monooxygenase activity		N	gene_3897	23	0	35	32	6	9	2	70	1982457	1982711
gene_3881	23.3824400507239	-0.484429081914833	371	Putative 12-oxophytodienoate reductase 3	Nectria haematococca	Ophiostoma piceae	K00354	E1.6.99.1; NADPH2 dehydrogenase [EC:1.6.99.1]	nadph dehydrogenase	3	C:cytoplasm; F:oxidoreductase activity; C:intracellular membrane-bounded organelle	-	N	gene_3898	25	0	69	55	37	17	12	22	1982458	1982712
gene_3882	11.6597778339533	-0.206355032320513	228	Peroxisomal membrane protein 4	Grosmannia clavigera	Sporothrix schenckii	K13350	PXMP4, PMP24; peroxisomal membrane protein 4	peroxisomal membrane protein 4	1	C:integral to membrane	-	N	gene_3899	13	5	11	33	15	12	4	14	1982459	1982713
gene_3883	5.27351226769452	0.328485127271871	450	Polysaccharide export protein	Grosmannia clavigera	Ophiostoma piceae			polysaccharide export protein	1	F:transferase activity		N	gene_3900	11	0	14	27	6	0	2	13	1982460	1982714
gene_3884	35.2753654490475	-0.344182340922567	515	HLH transcription factor	Grosmannia clavigera	Ophiostoma piceae			helix-loop-helix dna-binding domain-containing protein	1	F:protein dimerization activity	-	N	gene_3901	48	10	60	68	38	26	10	124	1982461	1982715
gene_3885	13.1769633359204	0.202960333112268	735	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7908	0	-		N	gene_3902	30	0	30	64	12	16	0	40	1982462	1982716
gene_3886	34.6063615584549	0.284741358468834	197	Nuclear localization sequence-binding protein (p67)	Grosmannia clavigera	Ophiostoma piceae			nucleic acid-binding protein	4	F:nucleic acid binding; F:nucleotide binding; C:ribonucleoprotein complex; P:biological_process		N	gene_3903	50	22	42	56	38	22	9	66	1982463	1982717
gene_3887	9.2365343638727	-0.685288654475764	327	Methylenetetrahydrofolate dehydrogenase	Grosmannia clavigera	Ophiostoma piceae	K00295	MTD1; methylenetetrahydrofolate dehydrogenase (NAD+) [EC:1.5.1.15]	methylenetetrahydrofolate dehydrogenase	8	P:folic acid-containing compound biosynthetic process; F:methylenetetrahydrofolate dehydrogenase (NAD+) activity; F:methylenetetrahydrofolate dehydrogenase (NADP+) activity; P:one-carbon metabolic process; P:purine nucleobase biosynthetic process; C:cytosol; P:oxidation-reduction process; F:nucleotide binding	EC:1.5.1.15; EC:1.5.1.5	N	gene_3904	23	2	8	8	8	14	0	49	1982464	1982718
gene_3888	12.8806787190457	-0.217164079821091	1 195	DNA repair transcription protein	Grosmannia clavigera	Ophiostoma piceae	K15075	MET18, MMS19; DNA repair/transcription protein MET18/MMS19	dna repair transcription protein	0	-		N	gene_3905	26	4	14	30	30	0	4	36	1982465	1982719
gene_3889	2.12493563280068	-0.36485115632734	235	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_810	0	-		N	gene_3906	0	0	6	9	6	0	0	12	1982466	1982720
gene_389	3.6071049204211	-1.36160269707172	752	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			cell wall anchored protein	0	-		N	gene_390	2	0	4	8	14	8	0	0	1978950	1979204
gene_3890	0	0	377	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1488	2	F:ATP binding; F:DNA binding		N	gene_3907	0	0	0	0	0	0	0	0	1982467	1982721
gene_3890.1	0	0	380	Putative uncharacterized protein	 	Ophiostoma piceae				0	-		N	gene_3908	0	0	0	0	0	0	0	0	1982468	1982722
gene_3891	25.6871034096302	0.522100434624944	403	Peptidyl-prolyl cis-trans isomerase	Grosmannia clavigera	Ophiostoma piceae	K05864	PPID, CYPD; peptidyl-prolyl isomerase D [EC:5.2.1.8]	40 kda peptidyl-prolyl cis-trans isomerase	4	P:protein folding; P:protein peptidyl-prolyl isomerization; F:peptidyl-prolyl cis-trans isomerase activity; F:binding	EC:5.2.1.8	N	gene_3909	54	12	16	121	28	10	2	92	1982469	1982723
gene_3892	3.45919380616813	0.15743775125115	160	D-tyrosyl-tRNATyr deacylase	Grosmannia clavigera	Ophiostoma piceae	K07560	dtd; D-tyrosyl-tRNA(Tyr) deacylase [EC:3.1.-.-]	d-tyrosyl-trna deacylase	3	F:hydrolase activity, acting on ester bonds; P:D-amino acid catabolic process; C:cytoplasm	-	N	gene_3910	20	0	0	13	2	2	0	20	1982470	1982724
gene_3893	36.9901950105073	-0.174218719353816	692	Ccr4-not transcription subunit 3	Grosmannia clavigera	Ophiostoma piceae	K12580	CNOT3, NOT3; CCR4-NOT transcription complex subunit 3	ccr4-not transcription subunit 3	2	P:regulation of transcription, DNA-dependent; C:nucleus		N	gene_3911	50	10	60	111	75	21	8	83	1982471	1982725
gene_3894	15.3069586564097	1.5592481679037	378	Zinc finger protein GLI4 (Neural-specific DNA-binding protein xGLI4)	Nectria haematococca	Ophiostoma piceae			c2h2 finger domain containing protein	3	F:zinc ion binding; C:intracellular; F:nucleic acid binding		N	gene_3912	45	0	8	199	17	1	0	32	1982472	1982726
gene_3895	68.1227774109003	0.0404597472179738	492	Isocitrate dehydrogenase	Grosmannia clavigera	Ophiostoma piceae	K00031	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	isocitrate dehydrogenase	5	F:NAD binding; F:isocitrate dehydrogenase (NADP+) activity; F:magnesium ion binding; P:tricarboxylic acid cycle; P:isocitrate metabolic process	EC:1.1.1.42	N	gene_3913	86	25	109	208	55	33	33	118	1982473	1982727
gene_3896	24.4640492621698	-0.467133641045908	565	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1720	0	-		N	gene_3914	22	10	16	71	28	13	12	63	1982474	1982728
gene_3897	15.2206972119094	0.508762409070067	370	UPF0160 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			myg1 protein	0	-		N	gene_3915	27	4	44	43	20	8	0	52	1982475	1982729
gene_3898	31.2615821242689	-0.332173604408286	171	Cyclic-AMP-regulated phosphoprotein family protein	Grosmannia clavigera	Ophiostoma piceae			camp-regulated phosphoprotein family protein	0	-		N	gene_3916	53	0	58	134	73	23	6	58	1982476	1982730
gene_3899	0.628753456198518	-0.35991793333743	773	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_941	3	F:molecular_function; P:biological_process; C:cellular_component		N	gene_3917	2	0	0	2	4	0	0	0	1982477	1982731
gene_39	16.0086146847739	0.436296616054131	982	Oleate activated transcription factor 3	Grosmannia clavigera	Ophiostoma piceae			c6 zinc finger domain containing protein	2	P:transcription, DNA-dependent; F:binding	-	N	gene_41	37	4	30	62	8	8	4	49	1978601	1978855
gene_390	7.45326617102512	0.525375616501039	384	Pre-mRNA-splicing factor syf-2	Grosmannia clavigera	Ophiostoma piceae	K12868	SYF2; pre-mRNA-splicing factor SYF2	syf2 splicing factor	3	P:RNA splicing; C:spliceosomal complex; P:mRNA processing	-	N	gene_391	30	0	24	12	8	6	0	21	1978951	1979205
gene_3900	8.82355674455762	-0.27104969251103	460	Tubulin gamma chain (Gamma-tubulin)	Fusarium oxysporum	Ophiostoma piceae	K10389	TUBG; tubulin gamma	tubulin gamma chain	7	C:microtubule; P:protein polymerization; P:GTP catabolic process; P:microtubule-based process; P:intracellular transport; F:GTPase activity; F:GTP binding	-	N	gene_3918	16	1	6	48	5	14	1	28	1982478	1982732
gene_3901	39.8642555448097	0.233408239641997	1 958	Phospholipase d1	Togninia minima	Ophiostoma piceae	K01115	PLD; phospholipase D [EC:3.1.4.4]	phospholipase d1	4	P:metabolic process; F:catalytic activity; F:phosphatidylinositol binding; P:cell communication		N	gene_3919	60	22	45	96	32	20	14	90	1982479	1982733
gene_3902	126.393010276505	0.414766794511372	713	Signal transduction protein MDG1 (Multicopy suppressor of defective G-protein 1)	Grosmannia clavigera	Ophiostoma piceae			carbohydrate-binding module family 48 protein	0	-		N	gene_3920	115	100	104	265	121	132	18	195	1982480	1982734
gene_3903	1.33333853351778	-0.845699803812752	318	C2H2 finger domain containing protein	Beauveria bassiana	Ophiostoma piceae			c2h2 finger domain containing protein	2	F:nucleic acid binding; C:intracellular	-	N	gene_3921	2	0	0	5	0	4	0	6	1982481	1982735
gene_3904	23.0490842150552	-0.884474082050114	758	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			zinc finger transcription factor	4	F:nucleic acid binding; F:zinc ion binding; P:biological_process; C:cellular_component		N	gene_3922	33	0	36	68	34	12	12	70	1982482	1982736
gene_3905	5.65011886843368	1.35848931736498	195	DNA-directed RNA polymerase III subunit RPC8	Colletotrichum higginsianum	Ophiostoma piceae	K03022	RPC25, POLR3H; DNA-directed RNA polymerase III subunit RPC8	rna polymerase iii subunit rpc25	2	F:DNA-directed RNA polymerase activity; P:transcription, DNA-dependent	EC:2.7.7.6	N	gene_3923	15	0	32	15	2	4	0	9	1982483	1982737
gene_3906	17.83508214563	0.337572735209049	259	ER membrane protein complex subunit 3	Thielavia terrestris	Ophiostoma piceae			transmembrane protein 111	3	C:ER membrane protein complex; C:cytosol; P:protein folding in endoplasmic reticulum	-	N	gene_3924	51	6	14	68	28	12	1	45	1982484	1982738
gene_3907	6.96956762333324	-0.425283991488318	233	Signal peptidase complex subunit 2	Magnaporthe oryzae	Ophiostoma piceae			microsomal signal peptidase 25 kda subunit	4	C:signal peptidase complex; C:integral to membrane; F:peptidase activity; P:signal peptide processing		N	gene_3925	14	2	6	14	6	2	4	22	1982485	1982739
gene_3908	29.6924683757751	0.103479755214332	1 132	Regulator of nonsense transcripts 1 homolog	Grosmannia clavigera	Ophiostoma piceae	K14326	UPF1, RENT1; regulator of nonsense transcripts 1 [EC:3.6.4.-]	regulator-nonsense transcripts 1	9	F:zinc ion binding; P:chromatin silencing at silent mating-type cassette; F:DNA binding; F:ATP binding; P:protein ubiquitination; P:intracellular mRNA localization; F:helicase activity; P:nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay; C:cytoplasm	-	N	gene_3926	62	5	59	101	30	22	2	122	1982486	1982740
gene_3909	9.88484494623687	0.156075815519373	298	U3 small nucleolar ribonucleoprotein protein IMP4	Grosmannia clavigera	Ophiostoma piceae	K14561	IMP4; U3 small nucleolar ribonucleoprotein protein IMP4	u3 small nucleolar ribonucleoprotein protein imp4	2	F:nucleic acid binding; C:ribonucleoprotein complex	-	N	gene_3927	4	6	12	31	14	6	0	41	1982487	1982741
gene_391	13.4175099893317	-0.784468956747747	296	NAD-dependent epimerase dehydratase family protein	Grosmannia clavigera	Ophiostoma piceae			nad dependent epimerase dehydratase	1	F:nucleotide binding	-	N	gene_392	22	0	34	12	8	6	12	18	1978952	1979206
gene_3910	56.0454932161574	0.303936142129126	313	Syntaxin-like protein psy1	Grosmannia clavigera	Ophiostoma piceae	K08486	STX1B_2_3; syntaxin 1B/2/3	syntaxin-like protein psy1	2	C:membrane; P:vesicle-mediated transport	-	N	gene_3928	99	24	75	181	70	46	9	105	1982488	1982742
gene_3911	22.5502159802426	0.0786225726707202	634	Mitochondrial outer membrane translocase receptor	Grosmannia clavigera	Ophiostoma piceae			mitochondrial precursor protein import receptor tom70	4	F:P-P-bond-hydrolysis-driven protein transmembrane transporter activity; P:intracellular protein transport; C:integral to membrane; C:mitochondrial outer membrane	-	N	gene_3929	46	4	50	63	39	4	3	90	1982489	1982743
gene_3912	22.6946147616961	0.874189636760828	298	Aminodeoxychorismate lyase	Grosmannia clavigera	Ophiostoma piceae			aminodeoxychorismate lyase	3	P:metabolic process; F:catalytic activity; F:lyase activity		N	gene_3930	78	0	44	148	22	14	2	42	1982490	1982744
gene_3913	0.783177684825411	0.589432195758331	438	Aspartic endopeptidase	Grosmannia clavigera	Ophiostoma piceae			aspartic endopeptidase	1	F:peptidase activity	-	N	gene_3931	8	0	0	1	0	0	0	4	1982491	1982745
gene_3914	7.60701824065032	-0.465252704922388	886	UPF0052 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			upf0052 domain containing protein	3	F:molecular_function; P:biological_process; C:cellular_component		N	gene_3932	8	0	14	35	13	6	0	40	1982492	1982746
gene_3915	3.73426438800283	1.50514117921912	572	UPF0052 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			upf0052 domain containing protein	0	-		N	gene_3933	9	0	8	43	4	0	0	6	1982493	1982747
gene_3916	331.919267143967	-0.217825965930382	928	ZZ-type zinc finger-containing protein P35G2.11c	Togninia minima	Ophiostoma piceae			zz type zinc finger domain-containing protein	3	F:zinc ion binding; P:biological_process; C:cellular_component		N	gene_3934	594	53	475	1245	451	258	93	805	1982494	1982748
gene_3917	11.9143798601245	0.400469113620144	444	Nucleolar protein 13	Grosmannia clavigera	Ophiostoma piceae			rna-binding protein	2	F:nucleic acid binding; F:nucleotide binding		N	gene_3935	33	2	26	39	6	12	2	27	1982495	1982749
gene_3918	18.2307050746817	0.0946093787675331	308	Putative nuclear envelope protein cut8	Grosmannia clavigera	Ophiostoma piceae	K11888	CUT8, STS1; protein Cut8		17	P:nucleus-associated proteasomal ubiquitin-dependent protein catabolic process; P:proteasome localization; C:viral envelope; P:protein transport; P:transport; C:nucleus; C:nuclear envelope; P:response to DNA damage stimulus; C:cytoplasm; P:proteasomal ubiquitin-dependent protein catabolic process; P:metaphase/anaphase transition of mitotic cell cycle; P:chromosome segregation; P:anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process; P:mitotic spindle organization in nucleus; C:nuclear membrane; F:polyubiquitin binding; F:protein anchor		N	gene_3936	40	2	33	77	34	4	4	50	1982496	1982750
gene_3918.1	8.63394107499056	0.631299313305914	590	DNA repair and recombination protein rhm52 (RAD52 homolog)	Villosiclava virens	Ophiostoma piceae	K10873	RAD52; DNA repair and recombination protein RAD52	dna repair and recombination protein rhm52	3	C:viral envelope; C:nucleus; P:protein transport		N	gene_3937	30	0	18	46	1	3	2	32	1982497	1982751
gene_3919	31.9985275585883	0.620307315718487	809	Aconitase	Grosmannia clavigera	Ophiostoma piceae	K01681	ACO, acnA; aconitate hydratase 1 [EC:4.2.1.3]	aconitate hydratase	4	P:tricarboxylic acid cycle; F:4 iron, 4 sulfur cluster binding; F:aconitate hydratase activity; C:mitochondrion	EC:4.2.1.3	N	gene_3938	31	19	77	59	46	18	0	88	1982498	1982752
gene_392	15.4091172102274	-0.691594744440243	280	Histone acetyltransferase subunit	Grosmannia clavigera	Ophiostoma piceae	K11341	YEATS4, GAS41, YAF9; YEATS domain-containing protein 4	yaf9-like protein	3	F:transferase activity; C:nucleus; P:regulation of transcription, DNA-dependent	-	N	gene_393	41	2	4	45	24	27	0	48	1978953	1979207
gene_3920	7.57628942517816	-0.412164997106566	504	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1158	0	-		N	gene_3939	21	0	4	36	8	4	3	27	1982499	1982753
gene_3921	12.9255697387671	-0.699414096665559	831	Protein kinase family protein	Grosmannia clavigera	Ophiostoma piceae	K08876	SCYL; SCY1-like	scy1 protein kinase	3	F:protein kinase activity; P:protein phosphorylation; F:ATP binding	-	N	gene_3940	17	0	16	58	34	12	0	48	1982500	1982754
gene_3922	9.28297716646465	-0.122850748881935	317	Target of rapamycin complex subunit LST8 (TORC subunit LST8)	Grosmannia clavigera	Ophiostoma piceae	K08266	GBL; G protein beta subunit-like	wd repeat-containing protein pop3	0	-		N	gene_3941	10	0	28	35	14	6	0	45	1982501	1982755
gene_3923	0.653470483470512	0.0307728914139741	192	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	gene_3942	0	0	4	0	0	0	0	6	1982502	1982756
gene_3924	62.6576859154617	0.0865674258313645	687	FHA domain containing protein	Grosmannia clavigera	Ophiostoma piceae			fha domain protein	3	C:mitochondrial outer membrane; P:intracellular protein transport; F:P-P-bond-hydrolysis-driven protein transmembrane transporter activity		N	gene_3943	140	6	125	243	70	42	14	173	1982503	1982757
gene_3925	40.9747647619847	-0.410963259463099	2 078	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_893	3	F:molecular_function; P:biological_process; C:cellular_component		N	gene_3944	79	2	39	201	92	33	2	138	1982504	1982758
gene_3926	57.1722221784649	1.57928391420515	179	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_603	0	-		N	gene_3945	44	14	276	265	47	30	2	59	1982505	1982759
gene_3927	11.7596328899592	1.00606884989835	380	Actin-like protein (Centractin)	Grosmannia clavigera	Ophiostoma piceae			actin2-like protein	8	P:nuclear migration; C:astral microtubule; C:spindle pole body; F:ATP binding; C:cell cortex; F:structural constituent of cytoskeleton; C:dynactin complex; P:establishment of mitotic spindle orientation	-	N	gene_3946	45	6	6	45	8	9	0	26	1982506	1982760
gene_3928	15.8985457552137	-0.74932733699166	90	Putative uncharacterized protein	Magnaporthe grisea	Ophiostoma piceae			hypothetical protein MGG_16792	0	-		N	gene_3947	10	11	0	4	27	4	12	15	1982507	1982761
gene_3929	29.3380155215485	0.518446264516267	585	Vegetative incompatibility protein Het-E	Galerina marginata	Ophiostoma piceae			ankyrin repeat-containing	0	-		N	gene_3948	82	4	61	124	34	10	8	54	1982508	1982762
gene_393	3.91223293595687	0.324882168563108	858	GPI anchored peptidase m48	Grosmannia clavigera	Ophiostoma piceae			glycoside hydrolase family 16 protein	9	F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:proteolysis; P:carbohydrate metabolic process; C:membrane; F:metalloendopeptidase activity; F:hydrolase activity; F:molecular_function; P:biological_process; C:cellular_component		Y	gene_394	5	0	14	18	0	2	2	7	1978954	1979208
gene_3930	44.240414507039	0.203207097999836	340	Translation initiation factor 3 subunit I (eIF-3i)	Myceliophthora thermophila	Ophiostoma piceae	K03246	EIF3I; translation initiation factor 3 subunit I	eukaryotic translation initiation factor 3 subunit 2	3	C:cytoplasm; P:translational initiation; F:translation initiation factor activity	-	N	gene_3949	60	20	61	138	43	36	10	96	1982509	1982763
gene_3931	49.8694570318192	-0.901989973476606	940	C-1-tetrahydrofolate ligase	Grosmannia clavigera	Ophiostoma piceae	K00288	MTHFD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]	c-1-tetrahydrofolate synthase	10	P:conversion of methionyl-tRNA to N-formyl-methionyl-tRNA; P:translational initiation; P:oxidation-reduction process; P:purine nucleobase biosynthetic process; F:methylenetetrahydrofolate dehydrogenase (NADP+) activity; F:methenyltetrahydrofolate cyclohydrolase activity; P:folic acid biosynthetic process; F:ATP binding; F:formate-tetrahydrofolate ligase activity; F:methionyl-tRNA formyltransferase activity	EC:1.5.1.5; EC:3.5.4.9; EC:6.3.4.3; EC:2.1.2.9	N	gene_3950	73	0	91	118	124	52	12	96	1982510	1982764
gene_3932	9.00819570195799	0.194043306076739	241	Kinase-related protein	Grosmannia clavigera	Ophiostoma piceae			kinase-related protein	2	P:metabolic process; F:transferase activity	-	N	gene_3951	35	0	18	25	12	10	0	23	1982511	1982765
gene_3933	5.379303174934	0.312407066265318	590	Ferric reductase transmembrane component 5	Gaeumannomyces graminis	Ophiostoma piceae			ferric reductase like transmembrane component	4	P:oxidation-reduction process; F:oxidoreductase activity; C:integral to membrane; C:membrane		N	gene_3952	2	0	0	72	4	2	0	30	1982512	1982766
gene_3934	1.80293721000034	-1.77815506525427	434	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			acyltransferase family protein	1	F:transferase activity, transferring acyl groups other than amino-acyl groups	EC:2.3.1.0	N	gene_3953	2	0	0	0	12	0	0	8	1982513	1982767
gene_3935	1.0066562936475	1.59135033929442	41	Putative uncharacterized protein	 				---NA---	0	-		N	gene_3954	0	0	12	0	0	0	0	0	1982514	1982768
gene_3936	8.3951744065708	0.523868193719903	694	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			glutaminase	2	P:metabolic process; F:catalytic activity		Y	gene_3955	17	0	38	18	14	4	0	23	1982515	1982769
