Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	F_T1_Rep1	F_T1_Rep2	F_T1_Rep3	F_T1_Rep4	F_T2_Rep1	F_T2_Rep2	F_T2_Rep3	F_T2_Rep4
gene_4837	0	0	929	DNA mismatch repair protein (MutS)	Grosmannia clavigera	Ophiostoma piceae			2 protein	2	; F:organic cyclic compound binding	-	N	0	0	0	0	0	0	0	0
gene_4838	0	0	523	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7843	0	-		N	0	0	0	0	0	0	0	0
gene_4839	6.05813287513026	-0.107825880482007	415	DnaJ homolog subfamily A member 2	Colletotrichum orbiculare	Ophiostoma piceae	K09503	DNAJA2; DnaJ homolog subfamily A member 2	chaperone dnaj 2	8	C:cytoplasm; P:DNA replication; P:protein folding; F:heat shock protein binding; F:ATP binding; F:unfolded protein binding; F:zinc ion binding; P:response to heat		N	6	16	2	20	0	4	10	10
gene_4839.1	0	0	145	Putative uncharacterized protein	 	Ophiostoma piceae				0	-		N	0	0	0	0	0	0	0	0
gene_484	0	0	277	Adenylate kinase 3/ATP-AMP transphosphorylase 3	Grosmannia clavigera	Ophiostoma piceae	K00939	E2.7.4.3, adk; adenylate kinase [EC:2.7.4.3]	adenylate kinase 2	6	C:cytoplasm; F:adenylate kinase activity; P:nucleotide biosynthetic process; P:phosphorylation; F:hydrolase activity; F:ATP binding	EC:2.7.4.3	N	0	0	0	0	0	0	0	0
gene_4841	0	0	680	Sucrose-6-phosphate hydrolase (Invertase)	Nectria haematococca	Sporothrix schenckii	K01212	sacC; levanase [EC:3.2.1.65]	sucrose-6-phosphate hydrolase	2	F:hydrolase activity, acting on glycosyl bonds; P:metabolic process	-	Y	0	0	0	0	0	0	0	0
gene_4842	1.15848635620067	-1.42675531424984	532	High-affinity glucose transporter	Neosartorya fischeri	Sporothrix schenckii			high-affinity glucose transporter	6	F:substrate-specific transmembrane transporter activity; C:integral to membrane; F:nucleic acid binding; F:zinc ion binding; P:transmembrane transport; P:carbohydrate transport	-	N	0	0	0	2	0	2	4	0
gene_4843	0	0	316	DEAD DEAH box DNA helicase	Grosmannia clavigera	Ophiostoma piceae			dead deah box dna helicase	7	F:helicase activity; F:nucleic acid binding; F:ATP binding; F:hydrolase activity; F:nucleotide binding; F:nucleoside-triphosphatase activity; F:ATP-dependent helicase activity		N	0	0	0	0	0	0	0	0
gene_4844	0	0	160	Putative uncharacterized protein	Gaeumannomyces graminis	Sporothrix schenckii			hypothetical protein GGTG_04461	6	P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus		N	0	0	0	0	0	0	0	0
gene_4845	0	0	199	Putative uncharacterized protein	Grosmannia clavigera	Sporothrix schenckii			hypothetical protein CMQ_6745	6	P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus		N	0	0	0	0	0	0	0	0
gene_4846	0	0	222	Putative uncharacterized protein	Stachybotrys chartarum	Ophiostoma piceae	K09935	K09935; hypothetical protein	hypothetical protein GGTG_14019	0	-		N	0	0	0	0	0	0	0	0
gene_4847	0	0	417	Serine/threonine-protein kinase SRPK	Penicillium rubens	Penicillium rubens	K08823	CLK; CDC-like kinase [EC:2.7.12.1]	protein kinase	7	F:ATP binding; F:protein kinase activity; P:protein phosphorylation; F:transferase activity, transferring phosphorus-containing groups; F:protein serine/threonine kinase activity; F:kinase activity; P:phosphorylation	EC:2.7.11.0	N	0	0	0	0	0	0	0	0
gene_4847.1	4.08097062346111	-1.69505134329298	302	Conserved hypothetical protein	Grosmannia clavigera	Grosmannia clavigera				0	-		N	4	4	0	6	0	8	10	0
gene_4848	0	0	383	Putative uncharacterized protein	Thielavia terrestris	Thielavia terrestris			hypothetical protein THITE_2083603	0	-		N	0	0	0	0	0	0	0	0
gene_4849	0.631771828965698	-1.17858313272832	295	Clock-controlled pheromone ccg-4 (Pheromone ccg-4)	Togninia minima	Ophiostoma piceae			pheromone precursor	4	F:pheromone activity; P:response to pheromone; C:extracellular region; F:mating pheromone activity		Y	0	0	0	0	2	0	0	0
gene_485	2.65948076626499	0.406101218401614	577	Mrs7 family protein	Grosmannia clavigera	Ophiostoma piceae			mitochondrial distribution and morphology protein 38	0	-		N	12	12	0	6	0	4	0	2
gene_4850	0.0852071823934164	0.227019381253042	453	Ribosomal N-lysine methyltransferase set11 (SET domain-containing protein 11)	Grosmannia clavigera	Ophiostoma piceae			set domain-containing protein	2	F:molecular_function; P:biological_process		N	0	0	0	2	0	0	0	0
gene_4851	0	0	351	Putative vacuolar protein sorting-associated protein TDA6 (Topoisomerase I damage affected protein 6)	Aureobasidium pullulans	Ophiostoma piceae			hypothetical protein DICSQDRAFT_142837	0	-		Y	0	0	0	0	0	0	0	0
gene_4852	0.303695504032807	-0.684720916430889	558	High-affinity glucose transporter	Grosmannia clavigera	Ophiostoma piceae			hexose transporter	4	F:substrate-specific transmembrane transporter activity; C:integral to membrane; P:transmembrane transport; P:carbohydrate transport	-	N	0	0	0	0	0	0	2	0
gene_4853	0	0	905	Scf ubiquitin ligase subunit (Cullin-3B)	Grosmannia clavigera	Ophiostoma piceae	K03869	CUL3; cullin 3	scf ubiquitin ligase subunit	4	C:cullin-RING ubiquitin ligase complex; F:ligase activity; F:ubiquitin protein ligase binding; P:ubiquitin-dependent protein catabolic process		N	0	0	0	0	0	0	0	0
gene_4854	0	0	231	Putative uncharacterized protein	Chaetomium globosum	Ophiostoma piceae			zf-dnl-domain-containing protein	1	F:zinc ion binding	-	N	0	0	0	0	0	0	0	0
gene_4855	0.227333390544102	-0.133909406843142	3 082	U3 small nucleolar RNA-associated protein 20 (U3 snoRNA-associated protein 20)	Grosmannia clavigera	Ophiostoma piceae	K14772	UTP20; U3 small nucleolar RNA-associated protein 20	heat repeat protein	0	-		N	0	0	0	2	0	0	0	2
gene_4856	0	0	269	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_348	2	F:molecular_function; C:cellular_component		N	0	0	0	0	0	0	0	0
gene_4857	0	0	146	Glyoxalase family protein	Grosmannia clavigera	Ophiostoma piceae			glyoxalase family protein	3	F:methyltransferase activity; F:transferase activity; P:methylation		N	0	0	0	0	0	0	0	0
gene_4858	0	0	320	Octanoyltransferase	Grosmannia clavigera	Ophiostoma piceae	K03801	lipB; lipoyl(octanoyl) transferase [EC:2.3.1.181]	biotin lipoate a b protein ligase	1	F:transferase activity	-	N	0	0	0	0	0	0	0	0
gene_4859	0	0	344	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_486	0.0852071823934164	0.227019381253042	615	Sorting nexin-4 (Autophagy-related protein 24)	Grosmannia clavigera	Sporothrix schenckii			sorting nexin-4	3	C:cytoplasm; F:lipid binding; P:cellular process	-	N	0	0	0	2	0	0	0	0
gene_4860	0	0	394	Putative uncharacterized protein	Chaetomium globosum	Ophiostoma piceae			polyketide synthase	16	F:RNA binding; F:nucleic acid binding; P:DNA integration; P:RNA-dependent DNA replication; F:zinc ion binding; C:nucleus; C:intracellular; F:RNA-directed DNA polymerase activity; F:transferase activity; F:nucleotide binding; P:oxidation-reduction process; F:phosphopantetheine binding; F:oxidoreductase activity; F:catalytic activity; F:transferase activity, transferring acyl groups other than amino-acyl groups; P:metabolic process		N	0	0	0	0	0	0	0	0
gene_4861	22.8141533553087	-0.652052557254708	1 074	Pyruvate carboxylase	Grosmannia clavigera	Ophiostoma piceae	K01958	PC, pyc; pyruvate carboxylase [EC:6.4.1.1]	pyruvate carboxylase	5	F:pyruvate carboxylase activity; P:gluconeogenesis; F:metal ion binding; F:ATP binding; F:biotin carboxylase activity	EC:6.4.1.1; EC:6.3.4.14	N	42	48	4	46	8	18	16	69
gene_4862	10.8774548687122	-0.286588535524276	140	Mitochondrial pyruvate carrier 1	Colletotrichum gloeosporioides	Ophiostoma piceae			upf0041 domain-containing protein	0	-		N	12	34	0	60	0	14	14	9
gene_4863	0.239541305867289	-0.149470968452138	208	Small nuclear ribonucleoprotein-associated protein B (snRNP-B)	Grosmannia clavigera	Ophiostoma piceae	K11086	SNRPB, SMB; small nuclear ribonucleoprotein B and B'	small nuclear ribonucleoprotein	2	F:nucleic acid binding; C:ribonucleoprotein complex	-	N	0	2	0	0	0	0	1	0
gene_4864	46.7109074242414	-0.438714745249167	164	60S ribosomal protein L11	Grosmannia clavigera	Ophiostoma piceae	K02868	RP-L11e, RPL11; large subunit ribosomal protein L11e	60s ribosomal protein l11	4	C:ribosome; F:structural constituent of ribosome; P:translation; F:rRNA binding	-	N	72	99	12	116	28	28	37	84
gene_4865	0	0	370	Alcohol dehydrogenase	Verticillium dahliae	Ophiostoma piceae			zinc-binding dehydrogenase	2	F:oxidoreductase activity; F:binding	-	N	0	0	0	0	0	0	0	0
gene_4866	0	0	375	Phosphatidylinositol transfer protein SFH5	Podospora anserina	Ophiostoma piceae			cral trio domain containing protein	3	C:endoplasmic reticulum; C:organelle membrane; P:transport	-	N	0	0	0	0	0	0	0	0
gene_4867	0	0	113	Putative uncharacterized protein	 				---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_4868	0	0	533	Pantothenate transporter liz1	Sordaria macrospora	Ophiostoma piceae			pantothenate transporter liz1	2	P:transmembrane transport; C:integral to membrane	-	N	0	0	0	0	0	0	0	0
gene_4869	21.6934977663579	1.50106094571611	392	Alpha-ketoglutarate-dependent taurine dioxygenase	Fusarium oxysporum	Ophiostoma piceae			alpha-ketoglutarate-dependent sulfonate dioxygenase	2	P:oxidation-reduction process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	EC:1.13.11.0	N	122	2	0	188	8	8	4	6
gene_487	0.391389057883693	-0.451584937184827	961	Pheromone processing endoprotease kex2	Grosmannia clavigera	Ophiostoma piceae	K01341	E3.4.21.61; kexin [EC:3.4.21.61]	pheromone processing endoprotease	2	C:Golgi apparatus; F:serine-type endopeptidase activity	EC:3.4.21.0	Y	0	2	0	0	0	0	2	0
gene_4870	3.66338280569583	0.35306255528164	639	Glutaminyl-tRNA synthetase	Beauveria bassiana	Ophiostoma piceae	K01886	QARS, glnS; glutaminyl-tRNA synthetase [EC:6.1.1.18]	glutaminyl-trna synthetase	5	F:glutamine-tRNA ligase activity; P:glutaminyl-tRNA aminoacylation; F:ATP binding; C:cytosol; C:mitochondrion	EC:6.1.1.18	N	2	14	2	10	4	0	0	4
gene_4871	0	0	126	Putative uncharacterized protein	Togninia minima	Sporothrix schenckii			hypothetical protein CHGG_01986	0	-		N	0	0	0	0	0	0	0	0
gene_4872	0	0	88	Oligopeptide transporter 2	Trichoderma atroviride	Sporothrix schenckii			oligopeptide transporter	1	P:transmembrane transport	-	N	0	0	0	0	0	0	0	0
gene_4873	0	0	579	Putative uncharacterized protein	Bipolaris oryzae	Ophiostoma piceae			hypothetical protein MGG_04241	3	F:molecular_function; P:biological_process; C:cellular_component		N	0	0	0	0	0	0	0	0
gene_4874	0	0	128	Putative uncharacterized protein	Togninia minima	Sporothrix schenckii			hypothetical protein THITE_49333	0	-		N	0	0	0	0	0	0	0	0
gene_4875	1.34125962731293	-0.927265914234811	178	Putative uncharacterized protein	Pestalotiopsis fici	Ophiostoma piceae			nadh:ubiquinone oxidoreductase subunit	1	F:NADH dehydrogenase activity	EC:1.6.99.3	N	2	2	0	2	0	2	0	8
gene_4876	2.07902485545475	-0.644139478365382	1 858	Helicase SWR1	Grosmannia clavigera	Ophiostoma piceae	K11681	SWR1; helicase SWR1 [EC:3.6.4.12]	helicase swr1	4	P:cellular process; F:nucleic acid binding; F:nucleotide binding; F:helicase activity	-	N	4	6	0	4	0	4	2	2
gene_4877	2.12586852822965	-2.3927946853019	721	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		Y	0	0	0	0	0	0	14	0
gene_4878	0	0	396	Histone-lysine N-methyltransferase ASHR1	Trichoderma virens	Trichoderma virens			mynd domain	5	F:zinc ion binding; F:metal ion binding; F:carbon-nitrogen ligase activity, with glutamine as amido-N-donor; F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; F:hydrolase activity		N	0	0	0	0	0	0	0	0
gene_4879	0	0	136	Amidase	Mesorhizobium loti	Mesorhizobium loti			amidase	1	F:catalytic activity	-	N	0	0	0	0	0	0	0	0
gene_488	0	0	1 880	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7774	1	C:cell part	-	N	0	0	0	0	0	0	0	0
gene_4880	0	0	245	Asp-tRNA-Asn/Glu-tRNA-Gln amidotransferase A subunit and like amidases	Photorhabdus temperata	Photorhabdus temperata			amidase	4	F:carbon-nitrogen ligase activity, with glutamine as amido-N-donor; F:transferase activity; F:hydrolase activity; F:amidase activity		N	0	0	0	0	0	0	0	0
gene_4881	0	0	157	Phenylethylamine oxidase (Primary amine oxidase)	Grosmannia clavigera	Grosmannia clavigera			copper amine oxidase	8	F:primary amine oxidase activity; P:protein folding; F:copper ion binding; F:quinone binding; P:amine metabolic process; F:unfolded protein binding; C:prefoldin complex; P:oxidation-reduction process	EC:1.4.3.21	N	0	0	0	0	0	0	0	0
gene_4882	0.717747442640861	0.251324266738961	639	Putative HC-toxin efflux carrier TOXA	Togninia minima	Ophiostoma piceae			efflux pump antibiotic resistance	2	C:integral to membrane; P:transmembrane transport		N	0	6	0	4	0	0	0	4
gene_4883	0.175387107701771	0.433786545470403	174	Putative uncharacterized protein	Gaeumannomyces graminis	Ophiostoma piceae			bzip transcription	0	-		N	0	4	0	0	0	0	0	0
gene_4884	0	0	125	Putative uncharacterized protein	 				---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_4885	0	0	407	Sphingoid long-chain base transporter RSB1	Neofusicoccum parvum	Ophiostoma piceae			rta1 domain protein	2	P:response to stress; C:integral to membrane		N	0	0	0	0	0	0	0	0
gene_4886	0	0	665	Amidase 1 (AtAMI1)	Togninia minima	Ophiostoma piceae			glutamyl-trna amidotransferase	1	F:catalytic activity	-	Y	0	0	0	0	0	0	0	0
gene_4887	0	0	462	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating	Podospora anserina	Ophiostoma piceae			dehydrogenase-like protein	2	; F:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	EC:1.1.1.0	N	0	0	0	0	0	0	0	0
gene_4888	0	0	526	Sterol uptake control protein 2 (Mannoprotein regulation by oxygen protein 4)	Grosmannia clavigera	Ophiostoma piceae			c6 transcription factor	6	P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus		N	0	0	0	0	0	0	0	0
gene_4889	0	0	593	Putative uncharacterized protein	Fusarium oxysporum	Ophiostoma piceae			hypothetical protein FOXB_07706	0	-		Y	0	0	0	0	0	0	0	0
gene_489	0	0	497	E3 ubiquitin-protein ligase RNF13 (RING finger protein 13)	Neurospora crassa	Ophiostoma piceae	K15706	RNF167; E3 ubiquitin-protein ligase RNF167 [EC:6.3.2.19]	ring-8 protein	2	F:metal ion binding; F:zinc ion binding		N	0	0	0	0	0	0	0	0
gene_4890	0.267931785448488	0.619050068707501	501	Betaine aldehyde dehydrogenase	Pestalotiopsis fici	Ophiostoma piceae	K00130	betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]	betaine aldehyde dehydrogenase	2	F:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; P:oxidation-reduction process	EC:1.2.1.0	N	4	0	0	0	0	0	0	0
gene_4891	7.75554692476619	0.17765169988507	551	Choline dehydrogenase	Grosmannia clavigera	Ophiostoma piceae	K00115	E1.1.99.10; glucose dehydrogenase (acceptor) [EC:1.1.99.10]	choline oxidase	5	F:flavin adenine dinucleotide binding; F:choline:oxygen 1-oxidoreductase activity; F:choline dehydrogenase activity; P:oxidation-reduction process; P:alcohol metabolic process	EC:1.1.3.17; EC:1.1.99.1	N	18	32	2	14	0	10	0	18
gene_4892	2.63104711177517	-1.80172062111504	250	Short chain dehydrogenase reductase	Beauveria bassiana	Ophiostoma piceae			short-chain dehydrogenase	3	F:oxidoreductase activity; P:oxidation-reduction process; F:nucleotide binding	-	N	2	4	0	0	6	0	0	6
gene_4893	0	0	799	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1811	0	-		N	0	0	0	0	0	0	0	0
gene_4894	0.303695504032807	-0.684720916430889	812	O-glycosyl hydrolase	Togninia minima	Ophiostoma piceae			glycoside hydrolase family 17 protein	1	F:catalytic activity	-	N	0	0	0	0	0	0	2	0
gene_4895	0	0	347	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein CH063_12724	0	-		N	0	0	0	0	0	0	0	0
gene_4896	0	0	1 162	Golgin IMH1	Togninia minima	Ophiostoma piceae			vesicular transport protein	1	P:protein targeting to Golgi		N	0	0	0	0	0	0	0	0
gene_4897	0	0	402	Protein lunapark homolog	Togninia minima	Ophiostoma piceae			hypothetical protein CMQ_1772	2	F:molecular_function; P:biological_process		N	0	0	0	0	0	0	0	0
gene_4898	0.0876935538508856	0.233135979246061	428	Sterol regulatory element-binding protein 1 (Processed sterol regulatory element-binding protein 1)	Gaeumannomyces graminis	Ophiostoma piceae			transcription factor bhlh	1	F:protein dimerization activity		N	0	2	0	0	0	0	0	0
gene_4899	0	0	284	Putative uncharacterized protein	 	Sporothrix schenckii			carbohydrate-binding cytochrome b562	3	F:carbohydrate binding; F:catalytic activity; P:carbohydrate catabolic process		N	0	0	0	0	0	0	0	0
gene_49	0	0	966	Crossover junction endonuclease eme1 (Essential meiotic endonuclease 1)	Grosmannia clavigera	Ophiostoma piceae	K10882	EME1, MMS4; crossover junction endonuclease EME1 [EC:3.1.22.-]	ercc4 domain-containing protein	6	P:DNA metabolic process; F:transferase activity; P:nucleic acid phosphodiester bond hydrolysis; F:nuclease activity; F:transferase activity, transferring glycosyl groups; F:DNA binding		N	0	0	0	0	0	0	0	0
gene_490	0	0	512	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_4154	0	-		N	0	0	0	0	0	0	0	0
gene_4900	0	0	267	Acyl-protein thioesterase 1	Cordyceps militaris	Ophiostoma piceae			phospholipase carboxylesterase family protein	1	P:mycelium development	-	N	0	0	0	0	0	0	0	0
gene_4901	0	0	533	Alpha glucoside transporter	Colletotrichum graminicola	Ophiostoma piceae			alpha glucoside transporter	3	P:transmembrane transport; C:integral to membrane; F:substrate-specific transmembrane transporter activity	-	N	0	0	0	0	0	0	0	0
gene_4902	1.39766449722492	-1.92422494969578	266	Protein alcS	Exophiala aquamarina	Ophiostoma piceae			plasma membrane ammonium transporter	1	C:membrane	-	N	0	0	0	0	0	6	0	0
gene_4904	1.15094940660094	-0.993395221599148	567	Quinate permease (Quinate transporter)	Grosmannia clavigera	Grosmannia clavigera			mfs quinate	3	P:transmembrane transport; C:integral to membrane; F:substrate-specific transmembrane transporter activity	-	N	2	0	0	2	0	4	0	0
gene_4905	0	0	410	SWIRM domain-containing protein C1682.13	Neurospora crassa	Ophiostoma piceae			swirm domain containing protein	1	F:DNA binding		N	0	0	0	0	0	0	0	0
gene_4906	0	0	682	F-box domain containing protein	Grosmannia clavigera	Ophiostoma piceae			f-box domain-containing protein	0	-		N	0	0	0	0	0	0	0	0
gene_4907	2.36969735685492	-0.0190329151228404	184	NADH-ubiquinone oxidoreductase	Colletotrichum orbiculare	Ophiostoma piceae			nadh-ubiquinone oxidoreductase 21 kda subunit	4	C:mitochondrial inner membrane; F:NADH dehydrogenase (ubiquinone) activity; C:integral to membrane; P:oxidation-reduction process	EC:1.6.5.3	N	6	4	0	14	0	2	2	6
gene_4908	0	0	288	Replication fork protection component	Grosmannia clavigera	Ophiostoma piceae	K10998	CSM3, SWI3; replication fork protection complex subunit Csm3/Swi3	chromosome segregation in meiosis protein 3	1	P:meiosis	-	N	0	0	0	0	0	0	0	0
gene_4909	0	0	1 286	Antiviral helicase SKI2 (Superkiller protein 2)	Fusarium verticillioides	Ophiostoma piceae	K12599	SKI2, SKIV2L; antiviral helicase SKI2 [EC:3.6.4.-]	dshct domain-containing protein	1	F:hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	EC:3.6.1.0	N	0	0	0	0	0	0	0	0
gene_491	0	0	1 831	Vacuolar protein sorting-associated protein 8 homolog	Grosmannia clavigera	Ophiostoma piceae			golgi complex component	1	F:zinc ion binding		N	0	0	0	0	0	0	0	0
gene_4910	0.911819933633879	-0.341449739231748	209	Vacuolar protein-sorting-associated protein 46 (Charged multivesicular body protein 1)	Grosmannia clavigera	Ophiostoma piceae	K12197	CHMP1, VPS46, DID2; charged multivesicular body protein 1	chromatin modifying protein 1b	1	P:protein transport	-	N	0	2	0	6	0	0	0	8
gene_4911	0	0	476	Peroxisomal membrane protein PEX16 (Peroxin-16)	Grosmannia clavigera	Ophiostoma piceae			peroxisomal membrane protein pex16	0	-		N	0	0	0	0	0	0	0	0
gene_4912	6.98816067250548	0.463598818028379	470	Bzip transcription factor	Grosmannia clavigera	Ophiostoma piceae			transcriptional activator hac1	8	P:regulation of transcription, DNA-dependent; F:sequence-specific DNA binding; F:protein dimerization activity; F:sequence-specific DNA binding transcription factor activity; P:response to unfolded protein; P:transcription, DNA-dependent; C:nucleus; F:DNA binding		N	16	20	4	7	0	6	4	12
gene_4913	0	0	730	Transcription factor spt8	Togninia minima	Sporothrix schenckii	K11360	SPT8; transcriptional activator SPT8	transcription factor	0	-		N	0	0	0	0	0	0	0	0
gene_4914	0	0	356	Serine-threonine kinase receptor-associated protein (WD40 repeat-containing protein strap)	Grosmannia clavigera	Ophiostoma piceae	K13137	STRAP, UNRIP; serine-threonine kinase receptor-associated protein	wd repeat protein	0	-		N	0	0	0	0	0	0	0	0
gene_4915	0	0	750	Ubiquitin homeostasis protein lub1	Grosmannia clavigera	Ophiostoma piceae	K14018	PLAA, DOA1, UFD3; phospholipase A-2-activating protein	ubiquitin homeostasis protein lub1	0	-		N	0	0	0	0	0	0	0	0
gene_4916	0.46588816574164	-0.949928063045303	240	Putative uncharacterized protein	Togninia minima	Ophiostoma piceae			hypothetical protein GLRG_04792	3	F:molecular_function; P:biological_process; C:cellular_component		Y	0	0	0	0	0	2	0	0
gene_4917	0.46588816574164	-0.949928063045303	283	Putative uncharacterized protein	Grosmannia clavigera	Sporothrix schenckii			hypothetical protein CMQ_1819	3	F:molecular_function; P:biological_process; C:cellular_component		N	0	0	0	0	0	2	0	0
gene_4918	0	0	34	Putative uncharacterized protein	 				---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_492	0	0	397	Glucose-inducible sam-dependent methyltransferase	Grosmannia clavigera	Ophiostoma piceae			glucose-inducible sam-dependent methyltransferase	4	F:methyltransferase activity; F:transferase activity; P:methylation; F:molecular_function		N	0	0	0	0	0	0	0	0
gene_4920	0.0852071823934164	0.227019381253042	530	Serine/threonine-protein kinase	Grosmannia clavigera	Ophiostoma piceae			serine threonine protein kinase	1	F:kinase activity	-	N	0	0	0	2	0	0	0	0
gene_4921	0	0	572	Putative sterigmatocystin biosynthesis monooxygenase stcW	Myceliophthora thermophila	Ophiostoma piceae	K00492	E1.14.13.-; genes in multiple pathways	flavin-binding monooxygenase	2	F:monooxygenase activity; F:coenzyme binding	-	N	0	0	0	0	0	0	0	0
gene_4922	13.9555642967788	-0.816663063756961	245	ATP synthase subunit 4, mitochondrial	Grosmannia clavigera	Ophiostoma piceae	K02127	ATPeF0B, ATP5F1; F-type H+-transporting ATPase subunit b [EC:3.6.3.14]	atp synthase subunit mitochondrial precursor	5	F:hydrogen ion transporting ATP synthase activity, rotational mechanism; P:protein complex oligomerization; P:ATP synthesis coupled proton transport; F:proton-transporting ATPase activity, rotational mechanism; C:mitochondrial proton-transporting ATP synthase, stator stalk	-	N	26	14	2	38	2	24	12	14
gene_4923	0	0	591	Nucleolar complex protein 4 (U3 snoRNA-associated protein 19)	Togninia minima	Ophiostoma piceae	K14771	NOC4, UTP19; U3 small nucleolar RNA-associated protein 19	nucleolar complex protein 4	2	P:biological_process; C:cellular_component		N	0	0	0	0	0	0	0	0
gene_4924	1.39766449722492	-1.92422494969578	686	TGACG-sequence-specific DNA-binding protein TGA-2.1	Colletotrichum orbiculare	Ophiostoma piceae			bzip transcription factor	4	P:regulation of transcription, DNA-dependent; F:sequence-specific DNA binding; F:protein dimerization activity; F:sequence-specific DNA binding transcription factor activity		N	0	0	0	0	0	6	0	0
gene_4925	0.267931785448488	0.619050068707501	521	Protein DSF2 (Deletion suppressor of MPT5 mutation protein 2)	Myceliophthora thermophila	Ophiostoma piceae			cell cycle inhibitor	2	P:biological_process; C:cellular_component		N	4	0	0	0	0	0	0	0
gene_4926	0	0	522	Putative uncharacterized protein	Podospora anserina	Ophiostoma piceae			peptidoglycan binding domain-containing protein	2	F:molecular_function; C:cellular_component		N	0	0	0	0	0	0	0	0
gene_4927	0	0	231	Putative uncharacterized protein	Pyrenophora tritici-repentis	Ophiostoma piceae			conserved hypothetical protein	1	C:integral to membrane		N	0	0	0	0	0	0	0	0
gene_4928	1.53916733954889	-2.02798017164253	373	Putative uncharacterized protein	Penicillium roqueforti	Ophiostoma piceae			2og-fe oxygenase	4	F:naringenin 3-dioxygenase activity; F:iron ion binding; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen; P:oxidation-reduction process	EC:1.14.11.9; EC:1.13.11.0	N	0	0	0	0	0	4	4	0
gene_4929	0.0852071823934164	0.227019381253042	489	Pantothenate transporter liz1	Nectria haematococca	Ophiostoma piceae			pantothenate transporter	2	P:transmembrane transport; C:integral to membrane	-	N	0	0	0	2	0	0	0	0
gene_493	2.51106097630002	-0.404909391745556	206	Bap31 domain protein	Grosmannia clavigera	Ophiostoma piceae			bap31 domain protein	3	C:integral to membrane; C:endoplasmic reticulum; P:intracellular protein transport		N	6	10	0	4	0	4	0	8
gene_4930	1.39766449722492	-1.92422494969578	1 028	U3 small nucleolar RNA-associated protein 12 (U3 snoRNA-associated protein 12)	Grosmannia clavigera	Ophiostoma piceae	K14556	DIP2, UTP12, WDR3; U3 small nucleolar RNA-associated protein 12	wd domain-containing protein	2	F:nucleic acid binding; C:ribonucleoprotein complex	-	N	0	0	0	0	0	6	0	0
gene_4931	3.92989251824388	0.725184146403974	318	Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex)	Colletotrichum gloeosporioides	Ophiostoma piceae	K05758	ARPC2; actin related protein 2/3 complex, subunit 2	arp2 3 complex 34 kda subunit	2	C:cytoskeleton; P:regulation of actin filament polymerization	-	N	10	22	0	22	0	4	0	6
gene_4932	0	0	358	Nuclease domain-containing protein 1	Grosmannia clavigera	Ophiostoma piceae			nuclease domain containing protein	3	F:nucleic acid binding; F:nuclease activity; C:membrane	-	N	0	0	0	0	0	0	0	0
gene_4933	0.892266790193698	-1.47743569107854	1 271	Polarized growth protein rax2 (Revert to axial protein 2)	Grosmannia clavigera	Ophiostoma piceae			cellular morphogenesis protein	0	-		N	0	0	0	0	0	2	0	6
